folder,num_geo_files,num_pdf_files,num_excel_files,list_geo_files,all_excel_files,all_pdf_files
MPN 3154,1,1,3,amtrust california mpn_geocoding_exhibit_g.xlsx,3154 amtrust california mpn provider listing 06172025 with 20250617 replacement.xlsx;3154 amtrust california mpn telehealth listing 06172025 with 20250617 replacement.xlsx;amtrust california mpn_geocoding_exhibit_g.xlsx,3154_amtrust california mpn application re-filing  06.16.2025 final with 20250617 replacement.pdf
MPN 3155,1,1,3,mpn geocoding exhibit.xlsx,b2. mpn provider listing.xlsx;b3 mpn ancillary provider listing with 20220216 replacement.xlsx;mpn geocoding exhibit.xlsx,ca mpn applicant conduent-ryder with 20220216 replacement.pdf
MPN 3156,1,1,2,equian_geocode_20220201.xlsx,equian_geocode_20220201.xlsx;equian_providers plus zips_20220201(with 20220425 replacement).xlsx,equian mpn plan.pdf
MPN 3158,0,1,3,,attachment b ancillary- corrected(with 20250922 replacement).xlsx;attachment c access.xlsx;attacment b provider- corrected(with 20250922 replacement).xlsx,method select mpn 2025 application(with 20250930 replacement).pdf
MPN 3159,1,1,2,attachment c - geocode (procomp mpn).xlsx,attachment b - providers + zip codes (procomp mpn).xlsx;attachment c - geocode (procomp mpn).xlsx,procomp mpn - plan & attachments.pdf
MPN 3161,1,1,2,geocoding analysis_reyes_20211022.xlsx,geocoding analysis_reyes_20211022.xlsx;providers plus zips_reyes_20211022.xlsx,mpn plan for sedgwick harbor mpn-reyes holdings.pdf
MPN 3163,0,1,4,,access.xlsx;ancillary 12042025 with 20251204 replacement.xlsx;provider 12042025 with 20251204 replacement.xlsx;telehealth 12042025 with 20251204 replacement.xlsx,mpn 3163 application 1282025xx with 20251211 replacement.pdf
MPN 3164,0,1,4,,access.xlsx;ancillay.xlsx;providers.xlsx;telehealth.xlsx,athens coventry select mpn_final (with 20220307 replacement).pdf
MPN 3166,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zipcodes with 20240216 replacement.xlsx;attachment c - geocode.xlsx,reiter mpn application 2023 with 20240216 replacement.pdf
MPN 3167,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zipcodes with 20220921 replacement.xlsx;attachment c - geocode.xlsx,state safety national-glidewell application 2022 with 20220921 replacement.pdf
